Consumer Demographics,Dis Catg,Foot Traffic,Prod Catg,Prod ID,Prod Pos,Promotion,Promotion Status,Seasonal,Comptr's Price,Price,Price Diff,Sales per Price,Sales Vol
Seniors,Higher Price,Medium,Electronics,198462,End-cap,No,Not Promoted,No,$26.78,$31.39,$4.61,56.674100032,1779
College students,Higher Price,Medium,Clothing,194843,Aisle,Yes,Promoted,No,$3.62,$5.14,$1.52,257.587548638,1324
Families,Higher Price,Low,Food,150604,Aisle,Yes,Promoted,Yes,$22.26,$25.89,$3.63,104.055619930,2694
Young adults,Higher Price,Medium,Electronics,190418,End-cap,No,Not Promoted,No,$42.64,$43.29,$0.65,30.977130977,1341
College students,Higher Price,Medium,Food,133094,Front of Store,Yes,Promoted,Yes,$28.36,$29.18,$0.82,90.575736806,2643
College students,Higher Price,Medium,Food,189074,End-cap,Yes,Promoted,Yes,$1.50,$5.90,$4.40,229.322033898,1353
Young adults,Higher Price,Low,Electronics,152783,Front of Store,Yes,Promoted,Yes,$43.93,$44.43,$0.50,63.898266937,2839
Young adults,Higher Price,Low,Electronics,152215,Front of Store,No,Not Promoted,No,$19.66,$22.40,$2.74,42.589285714,954
Families,Higher Price,Medium,Clothing,174676,Aisle,Yes,Promoted,Yes,$15.03,$16.36,$1.33,92.237163814,1509
College students,Higher Price,Low,Clothing,147821,Front of Store,No,Not Promoted,No,$24.58,$26.30,$1.72,92.015209125,2420
Families,Higher Price,Medium,Electronics,113180,Aisle,Yes,Promoted,No,$46.97,$47.71,$0.74,48.312722700,2305
College students,Higher Price,Medium,Clothing,147684,Aisle,No,Not Promoted,No,$30.34,$32.67,$2.33,27.976737068,914
Young adults,Higher Price,Medium,Food,110276,Aisle,Yes,Promoted,Yes,$30.57,$34.75,$4.18,25.697841727,893
College students,Higher Price,Low,Electronics,119373,Aisle,Yes,Promoted,No,$5.39,$8.72,$3.33,316.169724771,2757
Seniors,Higher Price,Medium,Electronics,130090,Aisle,Yes,Promoted,No,$12.98,$13.15,$0.17,68.821292776,905
College students,Higher Price,High,Electronics,168451,Front of Store,No,Not Promoted,No,$7.41,$10.27,$2.86,102.239532619,1050
Seniors,Higher Price,Medium,Clothing,196907,Aisle,Yes,Promoted,Yes,$17.17,$17.35,$0.18,167.780979827,2911
Seniors,Higher Price,High,Clothing,153708,Aisle,Yes,Promoted,No,$9.59,$12.05,$2.46,44.896265560,541
College students,Higher Price,Low,Food,116949,End-cap,Yes,Promoted,No,$4.71,$7.01,$2.30,132.097004280,926
Families,Higher Price,Low,Food,128184,Aisle,Yes,Promoted,No,$22.29,$26.69,$4.40,19.745222930,527
Seniors,Higher Price,Medium,Electronics,190312,End-cap,Yes,Promoted,Yes,$37.02,$41.92,$4.90,53.721374046,2252
Families,Higher Price,Low,Food,195839,Aisle,Yes,Promoted,Yes,$39.28,$43.89,$4.61,17.521075416,769
Seniors,Higher Price,Medium,Clothing,197080,Front of Store,Yes,Promoted,Yes,$37.90,$40.24,$2.34,69.532803181,2798
College students,Higher Price,Medium,Clothing,126882,Aisle,No,Not Promoted,Yes,$6.89,$8.71,$1.82,248.679678530,2166
College students,Higher Price,Low,Clothing,121683,End-cap,No,Not Promoted,Yes,$11.50,$14.48,$2.98,115.262430939,1669
Young adults,Higher Price,High,Clothing,114466,Aisle,No,Not Promoted,Yes,$16.55,$19.24,$2.69,54.885654886,1056
Seniors,Higher Price,Low,Food,133423,Front of Store,Yes,Promoted,No,$42.82,$43.91,$1.09,17.490321111,768
Families,Higher Price,High,Electronics,129345,Aisle,No,Not Promoted,No,$35.94,$39.19,$3.25,31.309007400,1227
Young adults,Higher Price,Low,Clothing,182298,Aisle,No,Not Promoted,No,$4.89,$5.45,$0.56,404.587155963,2205
Families,Higher Price,High,Food,115099,End-cap,No,Not Promoted,No,$43.57,$44.39,$0.82,61.928362244,2749
College students,Higher Price,Low,Clothing,123677,End-cap,No,Not Promoted,Yes,$18.42,$23.14,$4.72,57.519446845,1331
Young adults,Higher Price,Medium,Food,156228,Front of Store,Yes,Promoted,Yes,$27.11,$32.10,$4.99,61.433021807,1972
College students,Higher Price,Medium,Food,130446,End-cap,No,Not Promoted,Yes,$29.90,$32.33,$2.43,87.442004330,2827
College students,Higher Price,High,Food,139743,Front of Store,No,Not Promoted,Yes,$38.66,$43.33,$4.67,42.949457651,1861
Families,Higher Price,Low,Electronics,137462,Front of Store,Yes,Promoted,Yes,$39.26,$40.36,$1.10,67.244796829,2714
Seniors,Higher Price,Medium,Food,180388,Aisle,No,Not Promoted,No,$44.43,$49.25,$4.82,15.329949239,755
College students,Higher Price,High,Clothing,193975,Front of Store,Yes,Promoted,Yes,$43.83,$43.94,$0.11,32.180245790,1414
Young adults,Higher Price,Low,Electronics,126497,End-cap,No,Not Promoted,No,$34.11,$34.13,$0.02,83.152651626,2838
Seniors,Higher Price,High,Food,165072,End-cap,No,Not Promoted,Yes,$33.37,$37.02,$3.65,58.076715289,2150
Families,Higher Price,High,Electronics,146446,Front of Store,No,Not Promoted,No,$30.73,$35.56,$4.83,69.656917885,2477
Young adults,Higher Price,Medium,Electronics,174450,Front of Store,No,Not Promoted,Yes,$6.04,$7.33,$1.29,361.664392906,2651
Families,Higher Price,High,Electronics,130931,Aisle,Yes,Promoted,No,$41.03,$42.63,$1.60,52.169833451,2224
Young adults,Higher Price,High,Clothing,196440,Front of Store,No,Not Promoted,No,$21.22,$24.41,$3.19,94.223678820,2300
Families,Higher Price,Medium,Clothing,113511,End-cap,Yes,Promoted,Yes,$19.82,$21.22,$1.40,101.413760603,2152
Seniors,Higher Price,Medium,Electronics,163155,Aisle,No,Not Promoted,No,$13.38,$14.59,$1.21,184.304318026,2689
Seniors,Higher Price,Medium,Electronics,143152,Front of Store,Yes,Promoted,No,$10.60,$14.78,$4.18,138.430311231,2046
College students,Higher Price,Low,Food,178198,Front of Store,No,Not Promoted,No,$35.86,$40.43,$4.57,56.591639871,2288
Young adults,Higher Price,Low,Electronics,173253,Front of Store,Yes,Promoted,No,$16.25,$17.43,$1.18,113.539873781,1979
College students,Higher Price,Low,Clothing,131726,End-cap,Yes,Promoted,No,$6.45,$9.26,$2.81,268.682505400,2488
Seniors,Higher Price,High,Food,153970,Aisle,Yes,Promoted,Yes,$5.40,$7.44,$2.04,248.790322581,1851
College students,Higher Price,Low,Food,150686,Front of Store,No,Not Promoted,Yes,$40.32,$44.09,$3.77,67.271490134,2966
Young adults,Higher Price,Medium,Electronics,175349,End-cap,No,Not Promoted,No,$34.49,$37.75,$3.26,35.019867550,1322
Seniors,Higher Price,Medium,Electronics,127292,Aisle,No,Not Promoted,No,$14.40,$17.28,$2.88,61.921296296,1070
Young adults,Higher Price,Low,Clothing,152568,Aisle,Yes,Promoted,Yes,$5.61,$6.81,$1.20,435.535976505,2966
Young adults,Higher Price,Medium,Electronics,135414,End-cap,Yes,Promoted,Yes,$30.24,$32.97,$2.73,42.553836821,1403
Families,Higher Price,High,Food,110319,Front of Store,No,Not Promoted,No,$1.11,$6.05,$4.94,293.388429752,1775
Seniors,Higher Price,Low,Electronics,174321,End-cap,Yes,Promoted,No,$42.62,$42.95,$0.33,38.696158324,1662
College students,Higher Price,High,Electronics,143069,End-cap,No,Not Promoted,Yes,$13.46,$17.23,$3.77,39.291932676,677
College students,Higher Price,High,Clothing,155092,End-cap,Yes,Promoted,Yes,$39.05,$39.66,$0.61,22.087745840,876
College students,Higher Price,Low,Electronics,114253,Front of Store,No,Not Promoted,No,$31.26,$35.63,$4.37,41.959023295,1495
Families,Higher Price,Low,Clothing,177321,End-cap,No,Not Promoted,Yes,$31.35,$31.78,$0.43,71.932032725,2286
Young adults,Higher Price,Medium,Food,130550,Aisle,Yes,Promoted,No,$5.61,$6.61,$1.00,256.883509834,1698
College students,Higher Price,Medium,Clothing,152773,Front of Store,No,Not Promoted,Yes,$46.30,$49.74,$3.44,43.184559710,2148
College students,Higher Price,Medium,Food,175790,Aisle,Yes,Promoted,Yes,$18.05,$21.18,$3.13,84.419263456,1788
Families,Higher Price,High,Clothing,126957,Front of Store,No,Not Promoted,Yes,$34.30,$36.95,$2.65,48.958051421,1809
Seniors,Higher Price,High,Clothing,178874,Aisle,No,Not Promoted,Yes,$31.38,$34.22,$2.84,27.819988311,952
Young adults,Higher Price,High,Electronics,195207,Front of Store,Yes,Promoted,No,$24.73,$26.14,$1.41,65.646518745,1716
Seniors,Higher Price,High,Clothing,157384,End-cap,Yes,Promoted,No,$23.54,$24.53,$0.99,101.059926620,2479
Young adults,Higher Price,Medium,Electronics,110980,Aisle,No,Not Promoted,Yes,$8.42,$11.77,$3.35,136.788445200,1610
Families,Higher Price,High,Food,144539,Front of Store,No,Not Promoted,Yes,$24.60,$28.83,$4.23,74.991328477,2162
Seniors,Higher Price,Medium,Food,156638,Front of Store,Yes,Promoted,Yes,$38.19,$42.21,$4.02,36.460554371,1539
Families,Higher Price,Medium,Clothing,135717,Aisle,No,Not Promoted,No,$30.41,$31.74,$1.33,23.408947700,743
College students,Higher Price,High,Electronics,152395,End-cap,No,Not Promoted,No,$10.20,$13.29,$3.09,135.590669676,1802
Families,Higher Price,High,Electronics,160346,Aisle,No,Not Promoted,Yes,$42.33,$45.45,$3.12,31.155115512,1416
College students,Higher Price,Medium,Clothing,142963,End-cap,No,Not Promoted,Yes,$27.39,$30.48,$3.09,35.662729659,1087
Young adults,Higher Price,Medium,Electronics,155793,End-cap,No,Not Promoted,Yes,$17.61,$17.79,$0.18,125.070264193,2225
Families,Higher Price,High,Food,124413,Front of Store,No,Not Promoted,Yes,$29.48,$30.06,$0.58,40.984697272,1232
Young adults,Higher Price,High,Electronics,160541,End-cap,No,Not Promoted,No,$21.25,$24.79,$3.54,52.884227511,1311
Seniors,Higher Price,Medium,Electronics,114964,Front of Store,Yes,Promoted,No,$13.41,$16.47,$3.06,34.608378871,570
Seniors,Higher Price,High,Food,199673,End-cap,No,Not Promoted,Yes,$4.13,$8.20,$4.07,303.414634146,2488
Families,Higher Price,High,Clothing,141355,End-cap,Yes,Promoted,No,$33.24,$34.36,$1.12,56.752037253,1950
Seniors,Higher Price,High,Clothing,144362,Aisle,Yes,Promoted,Yes,$20.50,$22.69,$2.19,100.044072279,2270
Families,Higher Price,High,Electronics,144721,Front of Store,No,Not Promoted,No,$22.38,$25.51,$3.13,114.347314779,2917
Young adults,Higher Price,Medium,Clothing,139337,End-cap,Yes,Promoted,No,$41.34,$42.31,$0.97,44.386669818,1878
College students,Higher Price,Low,Clothing,167218,End-cap,No,Not Promoted,No,$34.40,$35.35,$0.95,74.144271570,2621
Young adults,Higher Price,High,Electronics,119583,Front of Store,No,Not Promoted,Yes,$5.20,$6.32,$1.12,210.759493671,1332
College students,Higher Price,Medium,Clothing,195223,Front of Store,No,Not Promoted,Yes,$22.01,$23.16,$1.15,109.067357513,2526
Seniors,Higher Price,High,Clothing,175927,End-cap,No,Not Promoted,No,$41.25,$45.95,$4.70,43.830250272,2014
Families,Higher Price,Low,Electronics,130120,End-cap,No,Not Promoted,No,$38.76,$42.89,$4.13,69.083702495,2963
Young adults,Higher Price,Low,Clothing,141261,Front of Store,Yes,Promoted,No,$47.60,$49.98,$2.38,12.825130052,641
College students,Higher Price,Medium,Electronics,186584,Aisle,Yes,Promoted,No,$33.19,$33.76,$0.57,40.580568720,1370
Seniors,Higher Price,Medium,Electronics,120793,Front of Store,No,Not Promoted,Yes,$28.14,$29.98,$1.84,73.515677118,2204
Young adults,Higher Price,Medium,Electronics,155385,End-cap,No,Not Promoted,No,$35.71,$38.80,$3.09,50.850515464,1973
Families,Higher Price,High,Clothing,151124,End-cap,No,Not Promoted,No,$7.22,$8.34,$1.12,347.122302158,2895
Families,Higher Price,Low,Electronics,179168,Front of Store,No,Not Promoted,Yes,$44.38,$47.77,$3.39,29.076826460,1389
Seniors,Higher Price,High,Electronics,162419,Aisle,Yes,Promoted,Yes,$25.32,$27.09,$1.77,22.775932078,617
Families,Higher Price,High,Clothing,113067,Front of Store,No,Not Promoted,No,$24.53,$26.16,$1.63,40.596330275,1062
Seniors,Higher Price,High,Electronics,178104,Aisle,No,Not Promoted,Yes,$13.21,$15.32,$2.11,184.530026110,2827
Families,Higher Price,Low,Clothing,138903,Aisle,No,Not Promoted,No,$39.54,$39.87,$0.33,49.686481063,1981
College students,Higher Price,High,Clothing,116993,Front of Store,No,Not Promoted,No,$31.54,$31.69,$0.15,92.710634269,2938
College students,Higher Price,High,Clothing,111935,Aisle,No,Not Promoted,No,$15.54,$16.27,$0.73,112.538414259,1831
Seniors,Higher Price,High,Electronics,115210,Front of Store,No,Not Promoted,Yes,$25.81,$28.08,$2.27,73.646723647,2068
College students,Higher Price,Medium,Clothing,173296,End-cap,No,Not Promoted,Yes,$11.03,$11.95,$0.92,84.435146444,1009
College students,Higher Price,Medium,Food,110709,Aisle,No,Not Promoted,Yes,$17.43,$18.48,$1.05,132.575757576,2450
Young adults,Higher Price,High,Clothing,134034,Front of Store,Yes,Promoted,Yes,$28.87,$31.72,$2.85,81.052963430,2571
College students,Higher Price,High,Food,165430,Aisle,Yes,Promoted,No,$26.60,$29.45,$2.85,95.585738540,2815
Families,Higher Price,Low,Food,192396,Front of Store,No,Not Promoted,Yes,$7.08,$7.32,$0.24,141.939890710,1039
Young adults,Higher Price,Low,Electronics,115581,Aisle,No,Not Promoted,Yes,$40.07,$44.47,$4.40,55.205756690,2455
College students,Higher Price,Low,Electronics,149662,End-cap,Yes,Promoted,No,$11.68,$13.33,$1.65,103.225806452,1376
Families,Higher Price,High,Food,169368,Front of Store,Yes,Promoted,No,$19.13,$24.10,$4.97,81.120331950,1955
Seniors,Higher Price,High,Clothing,173174,End-cap,No,Not Promoted,No,$9.14,$12.05,$2.91,52.780082988,636
Families,Higher Price,Low,Clothing,153411,Front of Store,Yes,Promoted,Yes,$25.70,$25.90,$0.20,33.552123552,869
College students,Higher Price,High,Food,135465,Aisle,Yes,Promoted,No,$11.97,$12.65,$0.68,80.237154150,1015
Seniors,Higher Price,Low,Food,151005,End-cap,No,Not Promoted,No,$12.86,$17.79,$4.93,71.725688589,1276
Seniors,Higher Price,Medium,Electronics,172517,Aisle,No,Not Promoted,Yes,$19.70,$23.94,$4.24,33.751044277,808
Young adults,Higher Price,High,Clothing,113368,End-cap,No,Not Promoted,Yes,$12.55,$17.48,$4.93,153.432494279,2682
Young adults,Higher Price,High,Food,112801,Front of Store,Yes,Promoted,Yes,$38.31,$41.60,$3.29,32.764423077,1363
Young adults,Higher Price,Low,Food,163286,Aisle,No,Not Promoted,No,$48.84,$49.64,$0.80,43.996776793,2184
College students,Higher Price,High,Clothing,175963,End-cap,Yes,Promoted,Yes,$12.43,$15.09,$2.66,93.903247184,1417
Families,Higher Price,Medium,Clothing,119258,End-cap,No,Not Promoted,No,$40.32,$41.97,$1.65,33.714558018,1415
Families,Higher Price,High,Electronics,131817,End-cap,No,Not Promoted,Yes,$28.94,$33.48,$4.54,86.290322581,2889
Families,Higher Price,Medium,Clothing,193731,Aisle,Yes,Promoted,No,$49.10,$49.55,$0.45,32.129162462,1592
Families,Higher Price,High,Food,175087,End-cap,No,Not Promoted,No,$23.91,$24.64,$0.73,116.639610390,2874
Seniors,Higher Price,Low,Food,129041,End-cap,Yes,Promoted,No,$38.37,$40.28,$1.91,50.273088381,2025
Families,Higher Price,Low,Clothing,194723,End-cap,No,Not Promoted,Yes,$5.60,$10.09,$4.49,182.953419227,1846
Families,Higher Price,High,Food,178350,End-cap,No,Not Promoted,Yes,$34.55,$36.71,$2.16,53.500408608,1964
Young adults,Higher Price,High,Clothing,137798,Front of Store,No,Not Promoted,No,$17.76,$18.91,$1.15,74.457958752,1408
Seniors,Higher Price,Low,Clothing,158893,Front of Store,Yes,Promoted,Yes,$31.08,$35.65,$4.57,35.680224404,1272
Families,Higher Price,Medium,Electronics,149201,Aisle,Yes,Promoted,Yes,$46.34,$46.97,$0.63,11.092186502,521
Seniors,Higher Price,High,Electronics,169631,Aisle,No,Not Promoted,No,$14.80,$17.05,$2.25,123.167155425,2100
College students,Higher Price,Low,Food,168106,Front of Store,No,Not Promoted,No,$18.41,$18.93,$0.52,59.904912837,1134
Seniors,Higher Price,High,Electronics,177650,Aisle,Yes,Promoted,No,$39.89,$43.59,$3.70,51.410874054,2241
Young adults,Higher Price,Low,Food,154029,End-cap,Yes,Promoted,Yes,$34.60,$34.88,$0.28,84.690366972,2954
Seniors,Higher Price,Medium,Clothing,130738,Front of Store,Yes,Promoted,No,$13.19,$14.18,$0.99,76.516220028,1085
Young adults,Higher Price,High,Food,140879,Aisle,Yes,Promoted,No,$43.19,$45.50,$2.31,32.857142857,1495
College students,Higher Price,Medium,Food,151900,Aisle,Yes,Promoted,Yes,$47.59,$47.99,$0.40,32.506772244,1560
College students,Higher Price,Medium,Food,187604,End-cap,No,Not Promoted,Yes,$48.05,$49.21,$1.16,15.891079049,782
College students,Higher Price,High,Clothing,174627,Front of Store,No,Not Promoted,No,$37.01,$38.69,$1.68,33.497027656,1296
Young adults,Higher Price,Medium,Clothing,133654,End-cap,Yes,Promoted,No,$41.61,$42.98,$1.37,54.281060959,2333
Seniors,Higher Price,High,Clothing,180951,Front of Store,Yes,Promoted,Yes,$22.09,$25.20,$3.11,81.587301587,2056
Families,Higher Price,High,Food,110578,End-cap,No,Not Promoted,No,$21.56,$22.22,$0.66,42.754275428,950
Seniors,Higher Price,High,Electronics,192711,Aisle,Yes,Promoted,Yes,$34.38,$36.40,$2.02,57.115384615,2079
Families,Higher Price,Low,Food,154096,Aisle,Yes,Promoted,No,$39.63,$43.32,$3.69,49.492151431,2144
Families,Higher Price,High,Clothing,124265,End-cap,Yes,Promoted,No,$20.92,$24.39,$3.47,111.316113161,2715
College students,Higher Price,High,Food,120576,End-cap,No,Not Promoted,Yes,$14.74,$16.48,$1.74,82.342233010,1357
Seniors,Higher Price,Medium,Food,166314,End-cap,No,Not Promoted,Yes,$35.33,$38.36,$3.03,75.495307612,2896
Families,Higher Price,Medium,Clothing,138145,Front of Store,Yes,Promoted,No,$24.83,$25.94,$1.11,97.262914418,2523
College students,Higher Price,Medium,Clothing,192789,End-cap,No,Not Promoted,No,$14.23,$15.65,$1.42,158.466453674,2480
Seniors,Higher Price,High,Electronics,150907,Front of Store,No,Not Promoted,No,$45.58,$45.68,$0.10,28.962346760,1323
Seniors,Higher Price,Medium,Clothing,182011,End-cap,Yes,Promoted,No,$19.74,$24.17,$4.43,24.327678941,588
College students,Higher Price,Low,Clothing,167179,Front of Store,Yes,Promoted,No,$23.01,$24.06,$1.05,92.477140482,2225
College students,Higher Price,High,Electronics,116390,End-cap,Yes,Promoted,Yes,$29.26,$30.07,$0.81,94.246757566,2834
College students,Higher Price,Low,Clothing,119757,End-cap,No,Not Promoted,No,$43.42,$48.21,$4.79,39.556108691,1907
Families,Higher Price,Low,Electronics,139269,Aisle,No,Not Promoted,Yes,$16.68,$18.24,$1.56,45.010964912,821
Young adults,Higher Price,High,Food,135624,Front of Store,No,Not Promoted,No,$2.06,$6.24,$4.18,279.487179487,1744
College students,Higher Price,Low,Clothing,171860,Aisle,Yes,Promoted,No,$39.33,$44.32,$4.99,54.106498195,2398
College students,Higher Price,Medium,Clothing,185187,Front of Store,Yes,Promoted,No,$38.34,$38.92,$0.58,34.892086331,1358
Seniors,Higher Price,Low,Food,163977,End-cap,No,Not Promoted,No,$36.19,$37.28,$1.09,77.038626609,2872
College students,Higher Price,Medium,Electronics,128784,Aisle,Yes,Promoted,No,$31.52,$32.51,$0.99,24.638572747,801
College students,Higher Price,Medium,Electronics,161283,End-cap,No,Not Promoted,Yes,$44.47,$46.68,$2.21,32.819194516,1532
Seniors,Higher Price,High,Clothing,166588,End-cap,Yes,Promoted,No,$5.73,$7.09,$1.36,194.076163611,1376
Young adults,Higher Price,Low,Clothing,111384,Aisle,No,Not Promoted,No,$21.78,$23.22,$1.44,80.060292851,1859
Families,Higher Price,Medium,Food,144945,End-cap,No,Not Promoted,Yes,$27.43,$28.77,$1.34,66.319082377,1908
Families,Higher Price,Medium,Food,145405,Aisle,No,Not Promoted,Yes,$29.32,$33.95,$4.63,41.325478645,1403
Young adults,Higher Price,Medium,Food,140480,Aisle,Yes,Promoted,No,$32.96,$33.32,$0.36,78.001200480,2599
College students,Higher Price,Low,Food,117707,Aisle,No,Not Promoted,No,$25.41,$27.33,$1.92,18.697402122,511
College students,Higher Price,Medium,Clothing,182158,Front of Store,No,Not Promoted,Yes,$23.04,$24.22,$1.18,111.023947151,2689
Young adults,Higher Price,High,Clothing,151032,Front of Store,No,Not Promoted,Yes,$4.93,$9.78,$4.85,210.020449898,2054
College students,Higher Price,Medium,Food,138160,Aisle,Yes,Promoted,No,$18.88,$19.57,$0.69,42.871742463,839
College students,Higher Price,High,Food,132647,Front of Store,Yes,Promoted,Yes,$14.41,$15.85,$1.44,178.611987382,2831
Families,Higher Price,Medium,Clothing,154713,Aisle,Yes,Promoted,Yes,$44.03,$47.72,$3.69,34.513830679,1647
Families,Higher Price,High,Food,157629,Front of Store,No,Not Promoted,No,$17.81,$18.93,$1.12,67.459059694,1277
Families,Higher Price,Low,Clothing,165679,Front of Store,No,Not Promoted,No,$12.41,$15.38,$2.97,69.050715215,1062
Seniors,Higher Price,Low,Food,127978,Front of Store,Yes,Promoted,No,$5.77,$6.39,$0.62,262.441314554,1677
Families,Higher Price,High,Clothing,191923,Aisle,No,Not Promoted,No,$45.10,$47.60,$2.50,30.651260504,1459
Young adults,Higher Price,Low,Food,179488,Front of Store,Yes,Promoted,Yes,$37.25,$41.53,$4.28,35.612810017,1479
Families,Higher Price,Medium,Food,196100,Aisle,Yes,Promoted,No,$23.86,$24.30,$0.44,38.847736626,944
Families,Higher Price,Medium,Food,114396,Front of Store,Yes,Promoted,No,$37.37,$37.84,$0.47,37.869978858,1433
Seniors,Higher Price,Medium,Electronics,126954,Aisle,No,Not Promoted,Yes,$39.60,$41.39,$1.79,39.623097367,1640
Seniors,Higher Price,Medium,Food,161127,End-cap,No,Not Promoted,No,$7.46,$11.47,$4.01,83.173496077,954
College students,Higher Price,Low,Clothing,192871,Front of Store,No,Not Promoted,Yes,$3.99,$6.39,$2.40,258.841940532,1654
College students,Higher Price,Low,Electronics,196774,Front of Store,No,Not Promoted,Yes,$37.67,$40.99,$3.32,31.788241034,1303
Seniors,Higher Price,Medium,Electronics,179265,Front of Store,Yes,Promoted,No,$39.77,$40.07,$0.30,22.984776641,921
Seniors,Higher Price,Medium,Food,127161,End-cap,Yes,Promoted,Yes,$44.38,$47.20,$2.82,50.593220339,2388
Families,Higher Price,Medium,Food,167455,Aisle,No,Not Promoted,No,$43.37,$44.42,$1.05,56.145880234,2494
Families,Higher Price,High,Electronics,126083,End-cap,No,Not Promoted,No,$5.86,$9.29,$3.43,116.146393972,1079
Seniors,Higher Price,High,Clothing,191442,Aisle,Yes,Promoted,Yes,$38.26,$38.26,$0.00,15.786722426,604
Seniors,Higher Price,High,Food,157324,Front of Store,No,Not Promoted,Yes,$32.20,$36.45,$4.25,40.658436214,1482
College students,Higher Price,Medium,Electronics,196863,Front of Store,No,Not Promoted,Yes,$42.34,$42.68,$0.34,64.456419869,2751
Families,Higher Price,Medium,Food,125834,End-cap,Yes,Promoted,Yes,$36.64,$37.76,$1.12,71.504237288,2700
Young adults,Higher Price,Low,Electronics,160648,End-cap,No,Not Promoted,No,$45.66,$47.47,$1.81,38.424267959,1824
Seniors,Higher Price,Low,Food,177124,Front of Store,No,Not Promoted,No,$27.84,$30.28,$2.44,44.220607662,1339
College students,Higher Price,Low,Clothing,130113,End-cap,Yes,Promoted,No,$10.95,$15.48,$4.53,46.899224806,726
Seniors,Higher Price,High,Electronics,149104,Aisle,No,Not Promoted,Yes,$26.82,$30.51,$3.69,59.357587676,1811
College students,Higher Price,High,Electronics,131351,Aisle,No,Not Promoted,Yes,$11.17,$13.38,$2.21,77.055306428,1031
Young adults,Higher Price,Medium,Clothing,163127,End-cap,No,Not Promoted,Yes,$36.59,$40.39,$3.80,39.589007180,1599
Families,Higher Price,Medium,Food,145944,End-cap,Yes,Promoted,No,$33.01,$36.30,$3.29,61.129476584,2219
Young adults,Higher Price,Medium,Clothing,178288,Aisle,Yes,Promoted,No,$38.49,$42.19,$3.70,20.336572648,858
Young adults,Higher Price,Low,Electronics,120721,Front of Store,Yes,Promoted,Yes,$14.29,$19.15,$4.86,94.882506527,1817
Seniors,Higher Price,Medium,Food,198257,Front of Store,Yes,Promoted,Yes,$4.34,$9.07,$4.73,71.334068357,647
Young adults,Higher Price,High,Food,144938,End-cap,No,Not Promoted,Yes,$4.23,$6.71,$2.48,304.321907601,2042
Young adults,Higher Price,High,Electronics,180786,Aisle,No,Not Promoted,No,$6.10,$9.99,$3.89,258.358358358,2581
College students,Higher Price,Low,Clothing,174984,Front of Store,No,Not Promoted,No,$15.04,$16.46,$1.42,164.277035237,2704
Young adults,Higher Price,Low,Clothing,164338,Front of Store,Yes,Promoted,Yes,$19.04,$21.67,$2.63,120.627595754,2614
Families,Higher Price,Medium,Electronics,194730,Front of Store,No,Not Promoted,No,$10.27,$14.09,$3.82,108.658623137,1531
Seniors,Higher Price,High,Food,184387,Front of Store,No,Not Promoted,Yes,$20.50,$22.48,$1.98,82.829181495,1862
Families,Higher Price,High,Electronics,122405,Front of Store,No,Not Promoted,No,$12.21,$17.06,$4.85,76.905041032,1312
Seniors,Higher Price,Low,Clothing,155287,End-cap,Yes,Promoted,Yes,$19.05,$20.21,$1.16,90.549233053,1830
Seniors,Higher Price,Low,Electronics,135629,End-cap,Yes,Promoted,Yes,$14.98,$19.14,$4.16,48.380355277,926
Seniors,Higher Price,Medium,Clothing,161695,Aisle,No,Not Promoted,No,$39.35,$43.33,$3.98,56.842834064,2463
Young adults,Higher Price,Low,Electronics,188585,Aisle,Yes,Promoted,No,$20.48,$24.47,$3.99,97.098487944,2376
College students,Higher Price,Medium,Electronics,199050,End-cap,No,Not Promoted,No,$6.10,$9.47,$3.37,142.766631468,1352
Seniors,Higher Price,High,Food,126957,Front of Store,No,Not Promoted,No,$16.44,$16.68,$0.24,116.366906475,1941
Seniors,Higher Price,Low,Clothing,140298,Aisle,No,Not Promoted,Yes,$25.50,$28.83,$3.33,36.038848422,1039
Seniors,Higher Price,Low,Clothing,143161,End-cap,Yes,Promoted,No,$33.58,$35.54,$1.96,26.617895329,946
Seniors,Higher Price,High,Clothing,126549,Front of Store,Yes,Promoted,No,$40.12,$42.47,$2.35,38.803861549,1648
College students,Higher Price,Medium,Clothing,199013,Aisle,No,Not Promoted,No,$45.21,$49.97,$4.76,57.914748849,2894
College students,Higher Price,Low,Electronics,120994,End-cap,No,Not Promoted,No,$8.77,$11.43,$2.66,230.358705162,2633
Families,Higher Price,Low,Food,123549,End-cap,No,Not Promoted,No,$5.99,$10.54,$4.55,60.436432638,637
Families,Higher Price,Low,Food,191501,Front of Store,No,Not Promoted,No,$37.55,$40.75,$3.20,68.564417178,2794
Seniors,Higher Price,Low,Electronics,137441,End-cap,No,Not Promoted,Yes,$34.84,$38.57,$3.73,36.945812808,1425
College students,Higher Price,Low,Food,174639,Aisle,No,Not Promoted,Yes,$27.95,$32.42,$4.47,57.526218384,1865
College students,Higher Price,High,Clothing,126334,End-cap,No,Not Promoted,No,$39.96,$43.81,$3.85,16.388952294,718
Seniors,Higher Price,Medium,Food,158294,Aisle,No,Not Promoted,No,$5.01,$5.15,$0.14,243.106796117,1252
Young adults,Higher Price,Medium,Food,171653,End-cap,No,Not Promoted,Yes,$34.47,$36.87,$2.40,80.037971250,2951
College students,Higher Price,Low,Clothing,113784,Front of Store,No,Not Promoted,No,$23.32,$27.14,$3.82,33.898305085,920
